"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\design.dart", "Dart", -4, 0, -3, 0, -7
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\help.dart", "Dart", -27, 0, 0, -1, -28
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\home.dart", "Dart", -37, 0, -1, -3, -41
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\main.dart", "Dart", -2, 0, -5, 5, -2
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\presenter.dart", "Dart", 3, 0, -2, -1, 0
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\store.dart", "Dart", 2, 0, 0, 1, 3
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\test.md", "Markdown", 0, 5, 0, 1, 6
"Total", "-", -65, 5, -11, 2, -69
