"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\README.md", "Markdown", 0, 4, 0, 0, 4
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\STORE.dart", "Dart", 56, 0, 20, 17, 93
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\components.dart", "Dart", 73, 0, 2, 15, 90
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\control.dart", "Dart", 19, 0, 27, 10, 56
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\design.dart", "Dart", 87, 0, 3, 35, 125
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\editor.dart", "Dart", 77, 0, 22, 8, 107
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\help.dart", "Dart", 202, 0, 24, 20, 246
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\home.dart", "Dart", 241, 0, 15, 16, 272
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\main.dart", "Dart", 107, 0, 26, 20, 153
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\presenter.dart", "Dart", 262, 0, 8, 19, 289
"Total", "-", 1124, 4, 147, 160, 1435
