"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\README.md", "Markdown", 0, 5, 0, 1, 6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\debug.dart", "Dart", 0, 0, 51, 0, 51
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\design.dart", "Dart", 276, 0, 1, 50, 327
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\help.dart", "Dart", 437, 0, 3, 59, 499
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\home.dart", "Dart", 900, 0, 14, 27, 941
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\main.dart", "Dart", 99, 0, 1, 24, 124
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\presenter.dart", "Dart", 731, 0, 0, 52, 783
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\store.dart", "Dart", 67, 0, 4, 22, 93
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\test.md", "Markdown", 0, 10, 0, 1, 11
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\wifi.dart", "Dart", 103, 0, 67, 21, 191
"Total", "-", 2613, 15, 141, 257, 3026
