"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\README.md", "Markdown", 0, 5, 0, 1, 6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\design.dart", "Dart", 251, 0, 0, 49, 300
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\help.dart", "Dart", 301, 0, 3, 40, 344
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\home.dart", "Dart", 675, 0, 0, 18, 693
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\main.dart", "Dart", 92, 0, 6, 24, 122
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\presenter.dart", "Dart", 703, 0, 1, 52, 756
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\store.dart", "Dart", 63, 0, 4, 22, 89
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\test.md", "Markdown", 0, 10, 0, 1, 11
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\wifi.dart", "Dart", 72, 0, 0, 15, 87
"Total", "-", 2157, 15, 14, 222, 2408
