"filename", "language", "Markdown", "Dart", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\_ble.dart", "Dart", 0, 0, -298, -2, -300
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\_promo.dart", "Dart", 0, -129, 0, -13, -142
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\design.dart", "Dart", 0, 3, 0, 0, 3
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\help.dart", "Dart", 0, -84, -1, -5, -90
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\home.dart", "Dart", 0, -38, -197, -6, -241
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\main.dart", "Dart", 0, -23, 1, -1, -23
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\presenter.dart", "Dart", 0, 4, 2, 3, 9
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\test.md", "Markdown", 9, 0, 0, 0, 9
"Total", "-", 9, -267, -493, -24, -775
