"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\README.md", "Markdown", 0, 5, 0, 1, 6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\design.dart", "Dart", 249, 0, 0, 49, 298
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\help.dart", "Dart", 355, 0, 3, 43, 401
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\home.dart", "Dart", 670, 0, 0, 18, 688
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\main.dart", "Dart", 93, 0, 6, 24, 123
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\presenter.dart", "Dart", 703, 0, 1, 50, 754
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\store.dart", "Dart", 63, 0, 4, 22, 89
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\test.md", "Markdown", 0, 14, 0, 1, 15
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\A-Better-Presenter-Mobile\lib\wifi.dart", "Dart", 77, 0, 0, 15, 92
"Total", "-", 2210, 19, 14, 223, 2466
