"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\README.md", "Markdown", 0, -5, 0, -1, -6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\debug.dart", "Dart", 0, 0, -51, 0, -51
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\design.dart", "Dart", 32, 0, -1, -1, 30
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\help.dart", "Dart", 169, 0, 0, 5, 174
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\home.dart", "Dart", -157, 0, -12, -7, -176
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\main.dart", "Dart", 5, 0, 0, 0, 5
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\mockups.dart", "Dart", 387, 0, 4, 65, 456
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\onboarding.dart", "Dart", 133, 0, 1, 14, 148
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\presenter.dart", "Dart", 10, 0, 0, 0, 10
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\store.dart", "Dart", -6, 0, -4, -1, -11
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\test.md", "Markdown", 0, -10, 0, -1, -11
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\wifi.dart", "Dart", 12, 0, -41, -1, -30
"Total", "-", 585, -15, -104, 72, 538
