"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\presenter_2\lib\design.dart", "Dart", 63, 3, 26, 92
"c:\Users\User\CODE\mobile_apps\presenter_2\lib\home.dart", "Dart", 213, 81, 9, 303
"c:\Users\User\CODE\mobile_apps\presenter_2\lib\main.dart", "Dart", 104, 8, 19, 131
"c:\Users\User\CODE\mobile_apps\presenter_2\lib\presenter.dart", "Dart", 211, 4, 19, 234
"Total", "-", 591, 96, 73, 760
