"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\README.md", "Markdown", 0, 5, 0, 1, 6
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\design.dart", "Dart", 242, 0, 0, 46, 288
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\help.dart", "Dart", 301, 0, 3, 40, 344
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\home.dart", "Dart", 678, 0, 1, 21, 700
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\main.dart", "Dart", 88, 0, 6, 24, 118
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\presenter.dart", "Dart", 707, 0, 1, 52, 760
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\store.dart", "Dart", 63, 0, 4, 22, 89
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\test.md", "Markdown", 0, 10, 0, 1, 11
"c:\Users\User\CODE\mobile_apps\A_Better_Presenter\presentation_master_2\lib\wifi.dart", "Dart", 72, 0, 0, 13, 85
"Total", "-", 2151, 15, 15, 220, 2401
